p300_mean_amp,p300_peak_amp,theta_power,alpha_power,beta_power,warunek,uuid,wiek,plec
369.03540623212365,7245.0,2.171562619091628,0.38937309934303777,0.1670590479026327,Prawda,02F6BC66,22,M
349.9668575180906,7439.0,0.4477756115236726,0.3624319611866398,0.15013604980347997,Prawda,02F6BC66,22,M
400.68694362558364,7953.0,1.1064800908952668,0.4772744394248488,0.24763534441645282,Prawda,02F6BC66,22,M
376.06676294485646,8105.0,1.786887606211641,0.3657110181380376,0.26546502333985084,Prawda,02F6BC66,22,M
411.64996438225796,8557.0,1.0296735242046222,0.5120180982106153,0.18085524333409467,Prawda,02F6BC66,22,M
405.2579854728813,8739.0,0.4984447118622568,0.4714488262213456,0.16221237796139384,Prawda,02F6BC66,22,M
449.3198905026567,9242.0,0.7855923625539964,0.2638297855409817,0.20646670651903695,Prawda,02F6BC66,22,M
444.94644759667835,9553.0,0.7520323213551898,0.3035521996409047,0.12473405874098538,Prawda,02F6BC66,22,M
471.279562607902,10096.0,1.5192514645814033,0.2873046277605523,0.1277897975028971,Prawda,02F6BC66,22,M
489.40310041333953,10253.0,1.16250247661735,0.7382037964456143,0.1814652761386343,Prawda,02F6BC66,22,M
511.63860468011075,10744.0,1.3923823750870705,0.37207306993324457,0.18234237941962794,Prawda,02F6BC66,22,M
527.9314855200934,11016.0,0.7834448886174888,0.4144280412238619,0.2022031150236131,Prawda,02F6BC66,22,M
564.301853590656,11530.0,1.0166139986503264,0.6482271997452437,0.1857591923467501,Prawda,02F6BC66,22,M
539.1205035555265,11704.0,2.1526172547171987,0.6014820148465406,0.15238760048863237,Prawda,02F6BC66,22,M
576.0250496185462,12154.0,1.0112629135823459,0.5146041212583842,0.15163745731746264,Prawda,02F6BC66,22,M
586.0683941218658,12306.0,0.8453938423478133,0.29558694494149595,0.12739426062701512,Prawda,02F6BC66,22,M
609.370448230857,12837.0,1.2732883409704536,0.5416063676773396,0.12250642885367959,Prawda,02F6BC66,22,M
618.4974938112017,13001.0,1.1198417442553303,0.2728857289635861,0.18320031256331545,Prawda,02F6BC66,22,M
649.026773960743,13505.0,1.3549739284282531,0.39866661055511676,0.1684198450674833,Prawda,02F6BC66,22,M
638.4216586467018,13723.0,0.6490425415521104,0.2991341102592831,0.15104743164120002,Prawda,02F6BC66,22,M
669.981792187365,14168.0,0.7311309828548661,0.32406743058721244,0.17134774825298346,Prawda,02F6BC66,22,M
686.7852623019692,14325.0,0.5852302290039881,0.35946703014130177,0.15630491109740352,Prawda,02F6BC66,22,M
715.1501913739655,14835.0,0.9934411794112071,0.48377708260935837,0.16205582614911565,Prawda,02F6BC66,22,M
705.153415381075,15020.0,0.4844762223545569,0.24414384820719687,0.1366608272828882,Prawda,02F6BC66,22,M
