amplituda_p300,warunek,uuid,wiek,plec
1091.312252728585,Prawda,02F6BC66,22,M
1118.9055633049516,Prawda,02F6BC66,22,M
1136.1947262872957,Prawda,02F6BC66,22,M
1160.9465901097813,Prawda,02F6BC66,22,M
1153.848903993985,Prawda,02F6BC66,22,M
1185.0737343080118,Prawda,02F6BC66,22,M
1184.622863962645,Prawda,02F6BC66,22,M
1247.3528852195489,Prawda,02F6BC66,22,M
1211.6311065603766,Prawda,02F6BC66,22,M
1255.0178849086687,Prawda,02F6BC66,22,M
1268.8237688445508,Prawda,02F6BC66,22,M
1287.0514715094162,Prawda,02F6BC66,22,M
1292.9803405990483,Prawda,02F6BC66,22,M
1313.3200046461402,Prawda,02F6BC66,22,M
1329.0263639480074,Prawda,02F6BC66,22,M
1376.3890480836094,Prawda,02F6BC66,22,M
1350.8377001423396,Prawda,02F6BC66,22,M
1379.4992606081257,Prawda,02F6BC66,22,M
1373.5453362397498,Prawda,02F6BC66,22,M
1408.4427240452362,Prawda,02F6BC66,22,M
1420.7248148247786,Prawda,02F6BC66,22,M
1446.885452044611,Prawda,02F6BC66,22,M
1445.1596312327526,Prawda,02F6BC66,22,M
1483.7022191198896,Prawda,02F6BC66,22,M
1467.9704218119487,Prawda,02F6BC66,22,M
1503.078273700043,Prawda,02F6BC66,22,M
1501.814457927105,Prawda,02F6BC66,22,M
1542.0283171195185,Prawda,02F6BC66,22,M
1544.538082433747,Prawda,02F6BC66,22,M
1562.3927477577547,Prawda,02F6BC66,22,M
1564.0497347461726,Prawda,02F6BC66,22,M
1600.9803472270742,Prawda,02F6BC66,22,M
1599.4069597149644,Prawda,02F6BC66,22,M
1622.0373281096704,Prawda,02F6BC66,22,M
1636.0551116634892,Prawda,02F6BC66,22,M
1658.864688062986,Prawda,02F6BC66,22,M
1653.5657902368998,Prawda,02F6BC66,22,M
1686.8045717475047,Prawda,02F6BC66,22,M
1697.5582869224777,Prawda,02F6BC66,22,M
1721.0300403366807,Prawda,02F6BC66,22,M
1723.0259026581673,Prawda,02F6BC66,22,M
1761.6060328684455,Prawda,02F6BC66,22,M
1767.0479026330422,Prawda,02F6BC66,22,M
1795.4248409057452,Prawda,02F6BC66,22,M
1785.3361079977276,Prawda,02F6BC66,22,M
1824.2227599362861,Prawda,02F6BC66,22,M
1825.1812186579132,Prawda,02F6BC66,22,M
1849.6596239084736,Prawda,02F6BC66,22,M
1871.3192781739451,Prawda,02F6BC66,22,M
1902.9713337247483,Prawda,02F6BC66,22,M
1896.353758600914,Prawda,02F6BC66,22,M
